iter	Passed	Remaining
0	67	67818
1	133	66602
2	179	59494
3	224	55901
4	269	53557
5	316	52404
6	364	51736
7	409	50775
8	454	50016
9	503	49823
10	542	48813
11	587	48362
12	632	48045
13	683	48143
14	725	47647
15	770	47367
16	814	47101
17	862	47052
18	908	46887
19	947	46403
20	989	46130
21	1034	45975
22	1075	45669
23	1122	45643
24	1169	45620
25	1218	45648
26	1257	45315
27	1306	45340
28	1343	44982
29	1391	44997
30	1436	44909
31	1482	44837
32	1531	44866
33	1579	44887
34	1628	44898
35	1677	44919
36	1727	44959
37	1776	44965
38	1824	44965
39	1873	44965
40	1922	44964
41	1970	44956
42	2019	44950
43	2068	44938
44	2117	44929
45	2161	44836
46	2204	44693
47	2246	44551
48	2290	44462
49	2331	44295
50	2374	44191
51	2415	44042
52	2455	43867
53	2499	43778
54	2544	43711
55	2583	43555
56	2621	43367
57	2667	43320
58	2715	43316
59	2761	43269
60	2807	43215
61	2847	43075
62	2890	42994
63	2938	42972
64	2977	42835
65	3017	42698
66	3057	42569
67	3102	42516
68	3143	42409
69	3183	42293
70	3222	42166
71	3262	42047
72	3302	41937
73	3346	41877
74	3386	41768
75	3422	41612
76	3462	41510
77	3510	41499
78	3555	41447
79	3595	41353
80	3636	41252
81	3677	41170
82	3724	41150
83	3771	41122
84	3818	41104
85	3867	41104
86	3916	41099
87	3961	41058
88	4007	41023
89	4056	41019
90	4103	40993
91	4143	40898
92	4192	40884
93	4242	40887
94	4291	40881
95	4333	40811
96	4377	40750
97	4418	40666
98	4456	40559
99	4500	40506
100	4545	40461
101	4583	40357
102	4626	40286
103	4665	40195
104	4705	40112
105	4753	40090
106	4798	40045
107	4842	39994
108	4892	39994
109	4941	39983
110	4990	39966
111	5038	39945
112	5084	39913
113	5133	39899
114	5183	39887
115	5232	39877
116	5286	39900
117	5327	39822
118	5374	39785
119	5417	39730
120	5460	39668
121	5500	39582
122	5551	39582
123	5597	39542
124	5643	39504
125	5687	39452
126	5734	39416
127	5774	39338
128	5819	39293
129	5859	39214
130	5906	39182
131	5949	39122
132	5992	39066
133	6041	39041
134	6080	38961
135	6125	38913
136	6175	38898
137	6224	38880
138	6273	38858
139	6322	38840
140	6372	38822
141	6423	38810
142	6468	38764
143	6533	38835
144	6586	38837
145	6640	38839
146	6689	38819
147	6740	38804
148	6795	38813
149	6841	38770
150	6895	38772
151	6938	38711
152	6989	38692
153	7049	38726
154	7099	38701
155	7148	38674
156	7197	38645
157	7246	38616
158	7294	38583
159	7339	38533
160	7388	38504
161	7438	38477
162	7487	38448
163	7536	38416
164	7585	38385
165	7633	38353
166	7682	38320
167	7731	38288
168	7780	38256
169	7828	38223
170	7877	38188
171	7925	38154
172	7974	38118
173	8019	38071
174	8066	38026
175	8117	38005
176	8161	37947
177	8207	37899
178	8250	37842
179	8295	37791
180	8342	37747
181	8384	37684
182	8425	37613
183	8476	37593
184	8550	37666
185	8615	37705
186	8665	37676
187	8715	37643
188	8764	37609
189	8813	37572
190	8860	37528
191	8909	37493
192	8958	37457
193	9007	37420
194	9054	37379
195	9103	37341
196	9152	37304
197	9201	37269
198	9249	37231
199	9298	37194
200	9343	37141
201	9392	37104
202	9441	37067
203	9489	37029
204	9538	36991
205	9587	36954
206	9636	36917
207	9685	36879
208	9734	36840
209	9782	36801
210	9831	36764
211	9879	36720
212	9928	36682
213	9977	36644
214	10022	36592
215	10071	36554
216	10120	36519
217	10169	36481
218	10218	36440
219	10267	36402
220	10316	36362
221	10364	36323
222	10413	36283
223	10463	36246
224	10511	36206
225	10560	36167
226	10613	36140
227	10661	36098
228	10710	36058
229	10768	36052
230	10844	36100
231	10894	36064
232	10958	36072
233	11037	36131
234	11101	36140
235	11168	36154
236	11211	36093
237	11256	36040
238	11314	36025
239	11372	36013
240	11446	36050
241	11505	36039
242	11549	35979
243	11598	35936
244	11646	35891
245	11695	35848
246	11743	35799
247	11791	35755
248	11840	35710
249	11887	35661
250	11936	35618
251	11985	35576
252	12032	35526
253	12080	35479
254	12128	35433
255	12176	35388
256	12223	35337
257	12262	35267
